Word,Count,Neighborhood
abode,3,West Town
ac,2,West Town
action,1,West Town
adorable,1,West Town
affordable,2,West Town
air,1,West Town
airy,2,West Town
alluring,1,West Town
alonzo,1,West Town
alta,1,West Town
amazing,17,West Town
amenities,1,West Town
amenity,1,West Town
amongst,1,West Town
app,1,West Town
apt,43,West Town
aptample,1,West Town
area,7,West Town
areauicdwntown,1,West Town
art,7,West Town
artfilled,1,West Town
artful,3,West Town
artist,4,West Town
artists,1,West Town
artsy,3,West Town
attached,1,West Town
attractive,1,West Town
available,1,West Town
ave,3,West Town
avenue,1,West Town
away,1,West Town
awesome,4,West Town
ba,5,West Town
bakery,1,West Town
balcony,4,West Town
balconyprivate,1,West Town
bars,1,West Town
bath,35,West Town
bathfree,1,West Town
bathroom,4,West Town
bb,4,West Town
bd,19,West Town
bdba,5,West Town
bdbr,1,West Town
bdbth,2,West Town
bdoffice,1,West Town
bdr,2,West Town
bdrm,6,West Town
beautiful,21,West Town
beautifulmodern,1,West Town
beauty,2,West Town
bed,34,West Town
bedba,1,West Town
bedbat,1,West Town
bedbath,5,West Town
bedbathden,1,West Town
bedroombath,1,West Town
bedrooms,2,West Town
beds,6,West Town
bee,1,West Town
bells,3,West Town
best,5,West Town
big,4,West Town
bill,1,West Town
bldg,1,West Town
block,1,West Town
blue,12,West Town
boat,1,West Town
bohemian,1,West Town
bosworth,1,West Town
botanical,1,West Town
box,1,West Town
br,38,West Town
brand,1,West Town
brba,5,West Town
brbest,1,West Town
brbth,1,West Town
breathtaking,1,West Town
brheart,1,West Town
brick,3,West Town
bridge,1,West Town
bright,15,West Town
bt,1,West Town
bth,1,West Town
bucktown,20,West Town
bucktownbt,1,West Town
bucktownwicker,5,West Town
budget,1,West Town
budgetfriendly,1,West Town
building,1,West Town
bungalow,1,West Town
bunk,3,West Town
bunkbed,1,West Town
bus,1,West Town
businesscleanaccessible,1,West Town
buzzing,1,West Town
cabin,2,West Town
camera,1,West Town
camping,1,West Town
cape,1,West Town
cardinal,1,West Town
carriage,1,West Town
cats,1,West Town
ceilings,1,West Town
center,3,West Town
central,3,West Town
centrally,1,West Town
century,2,West Town
charm,3,West Town
charmer,2,West Town
charming,18,West Town
cheap,1,West Town
chi,1,West Town
chic,3,West Town
chicago,41,West Town
chicagohalsted,1,West Town
chicagos,1,West Town
chicagowicker,1,West Town
chill,2,West Town
church,4,West Town
cinema,1,West Town
city,11,West Town
class,1,West Town
classic,2,West Town
clean,15,West Town
close,17,West Town
clutter,2,West Town
coach,5,West Town
cod,1,West Town
coffee,3,West Town
combo,1,West Town
comfort,4,West Town
comfortable,6,West Town
comfy,7,West Town
comfywest,1,West Town
communal,1,West Town
condo,47,West Town
condoperfect,1,West Town
conenviently,1,West Town
conv,1,West Town
convenient,2,West Town
conveniently,1,West Town
converted,2,West Town
cool,8,West Town
coolest,1,West Town
corner,4,West Town
corners,2,West Town
corporate,1,West Town
cortez,2,West Town
cosy,1,West Town
couch,2,West Town
cozy,49,West Town
crash,2,West Town
cruise,1,West Town
cta,1,West Town
cute,15,West Town
dana,1,West Town
dead,2,West Town
deck,13,West Town
design,1,West Town
designer,2,West Town
desirable,1,West Town
dietlin,1,West Town
