Word,Neighborhood,Count
able,Lake View,20
able,Lincoln Park,21
able,Logan Square,18
able,Near North Side,21
able,Near West Side,10
able,Uptown,10
able,West Town,18
ac,Lake View,14
ac,Lincoln Park,10
ac,Logan Square,12
ac,Near North Side,10
ac,West Town,12
access,Edgewater,114
access,Lake View,384
access,Lincoln Park,341
access,Logan Square,303
access,Loop,165
access,Near North Side,341
access,Near West Side,227
access,Uptown,206
access,West Town,547
accessible,Lake View,25
accessible,Lincoln Park,19
accessible,Logan Square,16
accessible,Loop,11
accessible,Near North Side,19
accessible,Near West Side,18
accessible,West Town,29
accommodate,Lake View,25
accommodate,Lincoln Park,41
accommodate,Logan Square,17
accommodate,Loop,13
accommodate,Near North Side,41
accommodate,West Town,34
accommodates,West Town,21
accommodations,West Town,12
across,Edgewater,14
across,Lake View,61
across,Lincoln Park,71
across,Logan Square,31
across,Loop,29
across,Near North Side,71
across,Near West Side,30
across,Uptown,20
across,West Town,68
action,Lake View,11
action,Lincoln Park,31
action,Loop,11
action,Near North Side,31
action,West Town,35
activities,Lake View,17
addison,Lake View,52
addition,Lake View,14
addition,Lincoln Park,11
addition,Logan Square,11
addition,Near North Side,11
additional,Edgewater,12
additional,Lake View,26
additional,Lincoln Park,18
additional,Logan Square,15
additional,Loop,10
additional,Near North Side,18
additional,Near West Side,10
additional,Uptown,11
additional,West Town,25
adjacent,Lake View,11
adjacent,West Town,12
adorable,Logan Square,10
affordable,Lake View,11
air,Edgewater,27
air,Lake View,128
air,Lincoln Park,86
air,Logan Square,62
air,Loop,28
air,Near North Side,86
air,Near West Side,33
air,Uptown,36
air,West Town,124
airbed,Lincoln Park,12
airbed,Near North Side,12
airbnb,Lake View,24
airbnb,Lincoln Park,14
airbnb,Logan Square,14
airbnb,Near North Side,14
airbnb,Uptown,15
airbnb,West Town,25
airport,Logan Square,61
airport,Loop,13
airport,Near West Side,17
airport,West Town,81
airports,West Town,13
airy,West Town,15
along,Lake View,26
along,Lincoln Park,17
along,Logan Square,27
along,Near North Side,17
along,Uptown,14
along,West Town,31
also,Edgewater,62
also,Lake View,220
