ID,Name,Summary,Description,Neighborhood
2384,hyde park walk univ chicago,large private bedroom shared bath wowner quiet bdrm nd floor vintage coop hyde park  minute walk metra electric bus loop bus midway airport  min train ride mccormick place  min loop bike rental next door free street parking,large private bedroom shared bath wowner quiet bdrm nd floor vintage coop hyde park  minute walk metra electric bus loop bus midway airport  min train ride mccormick place  min loop bike rental next door free street parking quiet sunny room queen size bed ideal academic visiting university chicago can walk campus catch university shuttle bus stop next door mccormick place visitors will also find convenient location just  minute train ride convention conference center will access entire apartment use kitchen decide prepare meals stay kitchen range top microwave toaster toaster oven convenience prefer eat pick take several nearby restaurants hyde park download grubhub seamless apps smartphone access local food,Hyde Park
4505,reviews  place  stars yep,across street cta train runs every  minutes day  minutes late night best way get around now another reason stay lagunitas brewery taproom opened june  like beer heaven seriously,across street cta train runs every  minutes day  minutes late night best way get around now another reason stay lagunitas brewery taproom opened june  like beer heaven seriously travel lot know people need know people want simply put right reviews speak can rent entirely furnished really cool comfortable apartment designed travelers great price really nice really big place one person big enough  persons one bathroom nobody lives apartment used solely vacation rental guests full peoples stuff deal always someone upstairs well always go day lot need anything problems questions etc house built  old chicago large clean apartment,South Lawndale
6453,large room home private bath,,campus university chicago  mile museum science industry  mile president obamas chicago home  miles south downtown  mile lake michigan three forms public transportation close including bus stops outside door train downtown  minute ride top rd floor building,Woodlawn
6715,lincoln park oasis unit,,license  beautiful victorian heart lincoln park one chicagos desirable neighborhoods safe neighborhood quiet street free visitor parking permits provided easy parking eight minutes walk public transportation cta near fullerton train station red brown line features independent self catering units building fully functional kitchens coffee tea snacks toiletries linen provided rate listed per unit unit  nd floor  bedrooms  den queensize bed bedroom full futon bed den living room dining room  bathroom bathtub max occupancy   also  units rent unit  high st floor  bedrooms king size bed master bedroom  twin beds nd bedroom queen size bed rd bedroom living room comfortable full size pull couch dining room  bathroom bathtub max occupancy   units may,Lincoln Park
7126,tiny studio apartment  walk score,,small studio apartment private entrance located rear half first floor consists kitchen small bedroom queen sized futon bathroom tub shower kitchen stove mini fridge sink microwave plus small table two roku box tv watching excellent cable internet roku hulu plus amaozn prime ton channels including acorn tv shows ton british mysteries address walk score  awesome combination places walk public transportation options rental bikes place new divvy bikes available block us fun way get around pay   hours bike rentals  hour time can pick one place drop somewhere else instance pick bikes near apartment bike el drop bikes proceed downtown,West Town
9811,barbaras hideaway old town,onebedroom hideaway tucked old town steps lincoln park zoo lakefront path worldclass dining shopping surrounds full kitchen bathroom queen bed baby grand piano lovely patio washer dryer much,onebedroom hideaway tucked old town steps lincoln park zoo lakefront path worldclass dining shopping surrounds full kitchen bathroom queen bed baby grand piano lovely patio washer dryer much please inquire availability making reservation lovely one bedroom hideaway located old town close park lincoln park zoo chicago lakefront path vacation rental perfect want able walk experience chicagos beautiful lakefront activity love worldclass shopping dining also several great restaurants walking distance queen size bed living room baby grand full kitchen bathroom lovely patio back guests use warmer months wd unit high speed internet cable tv parking can arranged nearby otherwise street parking available nonsmoking accommodation near li,Lincoln Park
9812,rush stgarden pl gc,wonderful studio apartments can found charming  story building bellevue place just east rush street west lake michigan,wonderful studio apartments can found charming  story building bellevue place just east rush street west lake michigan please inquire availability making reservation located heart chicago’s prestigious gold coast studio apartments offer exclusive location comfortable living unbeatable value within moments walk chicago’s prestigious landmarks attractions including john hancock building water tower place magnificent mile numerous restaurants rush street much wonderful studio apartments can found charming  story building bellevue place just east rush street west lake michigan unit appointed assortment beautiful asian art comfortable queen size bed kitchenette complimentary wireless internet access ideal business traveler need location convenient downtown romantic getaway,Near North Side
9813,rush st a pl gc,wonderful studio apartments can found charming  story building bellevue place just east rush street west lake michigan ask special lastminute within  days rates,wonderful studio apartments can found charming  story building bellevue place just east rush street west lake michigan ask special lastminute within  days rates please inquire availability making reservation located heart chicago’s prestigious gold coast studio apartments offer exclusive location comfortable living unbeatable value within moments walk chicago’s prestigious landmarks attractions including john hancock building water tower place magnificent mile numerous restaurants rush street much wonderful studio apartments can found charming  story building bellevue place just east rush street west lake michigan unit appointed assortment beautiful asian art comfortable queen size bed kitchenette complimentary wireless internet access ideal business traveler need,Near North Side
9814,rush st c pl gc,wonderful studio apartments can found charming  story building bellevue place just east rush street west lake michigan ask special last minute within  days rates,wonderful studio apartments can found charming  story building bellevue place just east rush street west lake michigan ask special last minute within  days rates please inquire availability making reservation located heart chicago’s prestigious gold coast studio apartments offer exclusive location comfortable living unbeatable value within moments walk chicago’s prestigious landmarks attractions including john hancock building water tower place magnificent mile numerous restaurants rush street much wonderful studio apartments can found charming  story building bellevue place just east rush street west lake michigan unit appointed assortment beautiful asian art comfortable queen size bed kitchenette complimentary wireless internet access ideal business traveler need,Near North Side
10610,comforts cooperative living,condo nd floor walk lovely  flat neighborhood treelined beautiful room light quiet bathroom shared  bedrooms everything newly renovated new walls paint bathroom,condo nd floor walk lovely  flat neighborhood treelined beautiful room light quiet bathroom shared  bedrooms everything newly renovated new walls paint bathroom newly furnished queen bed comforts grandma pantry nonperishable food use house guests use washerdryer use common spaces kitchen formal dining room sitting room bathroom secured wifi cable kitchen cooking privileges included travel alot work may see stay hyde park like share meals easy conversations  minute walk lakefront bike running path several beaches city rental bikes available way bike path hyde park home university chicago museum science industry court theater smart gallery renaissance gallery hyde pa,Hyde Park
